years_since_founded,funding_rounds,funding_total_usd,milestones,has_invested_other_companies,description,last_raised_amount_usd,last_funding_participants_cnt,category_code,last_funding_round_type,is_ipo_or_acquired
0.0,2,1500000.0,3.0,0,"Added Hailin Wu as founding engineer
Added Calvin Low as founding engineer",,1,games_video,angel,0
6.0,1,8000000.0,,0,nan,8000000.0,3,software,series-b,1
5.0,5,11637424.0,2.0,0,nan,5000000.0,1,analytics,series-a,0
6.0,2,27000000.0,2.0,0,AlertEnterprise recognized as one of the Hottest San Francisco Companies by Lead411 ,8000000.0,1,security,series-a,0
9.0,4,43772394.0,1.0,0,nan,7500000.0,0,software,other,0
7.0,1,450000.0,,0,nan,450000.0,0,ecommerce,venture,0
11.0,1,7920000.0,1.0,0,nan,7920000.0,4,software,venture,0
1.0,1,1525000.0,1.0,0,nan,1525000.0,2,mobile,series-a,0
2.0,2,2750000.0,1.0,0,nan nan,2000000.0,0,mobile,series-a,0
3.0,2,23500000.0,3.0,0,Alpine Data Labs Appoints Bruno Aziza as Chief Marketing Officer,7500000.0,4,analytics,series-a,0
4.0,1,1260000.0,2.0,0,nan,1260000.0,2,mobile,angel,0
3.0,2,18000000.0,3.0,0,"Minority Investment from the New $353M Growth Fund will Fuel Growth of Emerging Leader in Agile and Geo-spatial Business Intelligence Software Alteryx strengthens field leadership with Marc Gemassmer and Mike Regan Alteryx accelerates decision making with Strategic Analytics 7.0 Alteryx hires Analytics Platform leader and former Oracle executive Rick Schultz as Senior Vice President, Marketing Alteryx Honored as 2013 Red Herring Top 100 North America Tech Startup Alteryx Appoints Former Quest Software CEO Doug Garn to Board of Directors",6000000.0,1,analytics,series-a,0
,1,6700000.0,,0,nan,6700000.0,1,mobile,venture,0
9.0,4,60000000.0,1.0,0,nan,13000000.0,3,mobile,series-a,0
5.0,1,1500000.0,,0,nan,1500000.0,1,software,series-a,0
8.0,1,45000.0,,0,nan,45000.0,0,software,angel,0
2.0,1,1399996.0,1.0,0,American Giant launched with sweatshirts in five silhouettes ,1399996.0,0,ecommerce,venture,0
2.0,1,2000000.0,1.0,0,nan,2000000.0,4,analytics,series-a,1
,1,1318297.0,,0,nan,1318297.0,1,analytics,angel,0
4.0,1,,1.0,0,nan,,1,software,series-a,0
3.0,2,4400000.0,3.0,0,"Anametrix raises $4.4 million from TVC Capital to expand its real-time digital analytics platform Anametrix Asserts Leadership in Marketing Analytics and Triples Client Roster Through Q3 2013
 Anametrix Asserts Leadership in Marketing Analytics and Triples Client Roster Through Q3 2013
 Anametrix Introduces Industryï¿?s First Real-Time, Multichannel Analytics for Media and Publishing
Anametrix for News and Entertainment Media Delivers Powerful Decision-Support Capabilities to Help Media Companies Increase Audiences and Revenue. ",,1,analytics,venture,1
,1,100000.0,,0,nan,100000.0,1,analytics,angel,0
8.0,3,62800000.0,3.0,0,"AnchorFree Launches Advertising Network for Reaching Consumers at Hotspot Locations Bay Area Developments Create Free Wireless HotSpots Using AnchorFree Solution AnchorFree Expands Leadership Team With New Senior Vice President of Advertising Solutions New Software Gives Web Users Secure Public Wireless Access AnchorFree Partners with WebAds UK to Bring World's First Broadband Media Network to EMEA Access an Un-Censored Internet during the Olympics in China with AnchorFree's Hotspot Shield Hotspot Shield Is a Free, Simple Solution to Online Privacy Infringements iPhone Users Can Now Go Online Securely and Privately with New App AnchorFree Named ""Cool Vendor"" by Leading Analyst Firm AnchorFree's Online Privacy Tool Continues Explosive Growth in Wake of Increased Online Censorship Mochila Partners With AnchorFree to Launch Innovative Content Portal AnchorFree Extends Reach of Hotspot Shield -- Introduces New Local Language Feature and Updated Mac Version Webroot and AnchorFree Join Forces to Protect Millions of Internet Users AnchorFree's Hotspot Shield Eclipses 1 Billion Monthly Page Views For First Time AnchorFree Comments on Google's Move to End Censored Searches in China AnchorFree Releases New Version of Hotspot Shield to Keep Facebook Information Private and Secure AnchorFree Launches Ad-Free, Turbo-Charged Version of Hotspot Shield AnchorFree Launches Money-Saving Mobile Security Solution for iOS Devices AnchorFree Launches Malware Protection Across All Devices AnchorFree: A road warrior's friend, a censor's foe AnchorFree Appoints Tech Executive Doug Maine to Advisory Board With Its Hotspot Shield Hitting 60M Downloads, AnchorFree Lands A Whopping $52M From Goldman Sachs AnchorFree Brings Their Hotspot Shield Mobile Security App To Android AnchorFree Extends Hotspot Shield to Android Users 30 Under 30 Alumni: Where Are They Now? Viewers find ways around Olympic broadcast restrictions How To Thwart Hackers And Dictators With One Free Download With 100 Million Hotspot Shield PC and Mac Downloads and Three Million Mobile Downloads, AnchorFree Celebrates One Year of Explosive Growth With $1 Million in Mobile Giveaways Quantcast: AnchorFree ranked the 38th most trafficked service on the Web Forbes names David Gorodyansky one of America's Most Promising CEOs Under 35 Hotspot Shield Crosses 10M Installations On Android And iOS, Showing Strong Appetite For Mobile VPN
",6000000.0,5,security,series-a,0
2.0,1,150000.0,,0,nan,150000.0,1,games_video,venture,0
5.0,1,,1.0,0,nan,,1,software,angel,0
0.0,1,35000.0,1.0,0,nan,35000.0,0,ecommerce,angel,0
11.0,1,10000000.0,1.0,0,nan,10000000.0,2,software,series-b,0
3.0,3,325000.0,2.0,0,nan,,0,mobile,angel,0
4.0,2,2550000.0,3.0,0,"Anvato signs up Kantar Video, a Business Unit of WPP, to power video tracking and monetization for advertising agencies  Univision Interactive Media Rolls Out Anvatoâ€™s Video Platform",550000.0,3,games_video,angel,0
1.0,2,125000.0,,0,nan,50000.0,2,web,angel,0
2.0,1,,1.0,0,nan,,1,web,angel,0
1.0,2,1400000.0,2.0,0,nan,,1,ecommerce,angel,0
2.0,2,1750000.0,,0,nan,120000.0,2,software,angel,0
4.0,3,9079169.0,1.0,0,nan,501252.0,0,analytics,series-a,0
4.0,2,1350000.0,2.0,0,"Aplos hits 10,000 organizations served",150000.0,0,software,angel,0
1.0,1,,2.0,0,"Apmetrix Opens Pre-Registration for the Fastest, Real-Time Game-Analytics Platform and Introduces Board of Advisors Apmetrix Launches the Fastest, Most Customizable Analytics Platform for Games and Mobile Apps",,3,software,venture,0
1.0,1,175000.0,1.0,0,Hired contract developer and marketing intern. Prototype and demo released to interested parties.,175000.0,0,security,angel,0
3.0,3,168986.0,2.0,0,nan,100000.0,0,web,other,0
3.0,2,650000.0,2.0,0,"At DEMO Spring 2010, appbackr (www.appbackr.com), the first wholesale digital marketplace where iPhone app developers can get immediate funding by selling wholesale units to buyers, was named a winner of the first PayPal (News - Alert) X Developer Challen The Silicon Valley Association of Startup Entrepreneurs (SVASE) today announced that appbackr (www.appbackr.com) was one of the 30 finalist companies invited to launch their companies and new products at Launch: Silicon Valley 2010 Cambridge West Ventures and Hall Financial Group Lead Second Funding Round as iPhone Digital Wholesale Marketplace Issues Beta Invitations to Developers appbackr Launches the First Market Exchange for Apps. Allows Stores and Platforms to Recruit and Feature Relevant Apps",50000.0,1,mobile,angel,0
2.0,1,,1.0,0,nan,,1,mobile,angel,0
0.0,2,600000.0,2.0,0,nan,,1,mobile,angel,0
2.0,4,86500000.0,3.0,0,AppDynamics Nabs Industry Veteran Joe Sexton as President to Support Exponential Growth,5500000.0,2,software,series-a,0
2.0,1,1200000.0,2.0,0,nan,1200000.0,3,games_video,angel,0
1.0,1,200000.0,2.0,0,nan,200000.0,1,mobile,angel,0
7.0,3,11700000.0,2.0,0,nan,4200000.0,1,software,series-a,0
2.0,1,2400000.0,,0,nan,2400000.0,2,mobile,series-a,0
,1,55000.0,,0,nan,55000.0,0,software,venture,0
9.0,3,27500000.0,1.0,0,nan,7500000.0,2,mobile,series-a,0
1.0,1,,2.0,0,AppScale is a Google Cloud Technology Partner,,0,software,angel,0
2.0,1,1500000.0,2.0,0,nan,1500000.0,10,mobile,series-a,0
2.0,1,6250000.0,3.0,0,"Appthority named finalist as a ""Top 10 Most Innovative Company at RSA 2012"" Appthority named ""The Most Innovative Company of RSA Conference 2012"" Appthority Launches Platform, Named Winner for ""Most Innovative Company at RSAï¿? Conference 2012ï¿? Appthority and BoxTone Partner to Deliver Mobile App Risk Management Appthority and Appcelerator Unveil Secure Enterprise App Development Solution Appthorityï¿?s App Security Solution to be Available with Apperianï¿?s EASE Platform Appthorityï¿?s App Security Solution to be Available With Mocanaï¿?s Mobile App Protectionï¿? (MAP)",6250000.0,3,security,series-a,0
1.0,2,6250000.0,3.0,0,Launched public beta,1750000.0,9,mobile,series-a,1
,1,1100000.0,1.0,0,nan,1100000.0,0,software,series-a,0
0.0,2,,1.0,0,nan,,1,games_video,angel,0
7.0,1,37000000.0,2.0,0,"Kamal Ahluwalia Joins Apttus as Chief Marketing Officer
Company adds quote-to-cash industry expert to world-class leadership team",37000000.0,3,software,series-a,0
4.0,1,2500000.0,1.0,0,nan,2500000.0,1,software,series-a,0
19.0,1,20000000.0,2.0,0,nan,20000000.0,2,software,venture,0
